Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Apr 14, 2025;Apr 15, 2025;1,257,666.50;1,291,370.50;33,704.00;805,735.25
Apr 15, 2025;Apr 16, 2025;1,316,285.50;1,364,616.25;48,330.75;551,858.25
Apr 16, 2025;Apr 17, 2025;1,297,467.25;1,326,423.50;28,956.25;806,517.00
Apr 17, 2025;Apr 18, 2025;1,317,192.25;1,346,051.50;28,859.25;773,489.75
Apr 18, 2025;Apr 19, 2025;1,074,921.75;1,104,420.75;29,499.00;749,985.50
Apr 19, 2025;Apr 20, 2025;1,023,938.50;1,069,607.75;45,669.25;651,636.50
Apr 20, 2025;Apr 21, 2025;947,416.50;996,648.00;49,231.50;519,934.25
Apr 21, 2025;Apr 22, 2025;977,464.50;1,010,668.25;33,203.75;677,144.25
Apr 22, 2025;Apr 23, 2025;1,234,912.25;1,268,442.50;33,530.25;910,971.25
Apr 23, 2025;Apr 24, 2025;1,290,523.00;1,322,203.25;31,680.25;922,421.75
Apr 24, 2025;Apr 25, 2025;-;-;-;-
