Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Apr 14, 2025;Apr 15, 2025;97,962.50;28,817.50;34,312.75;127,797.25;289,821.25;2,303.25;-;216,988.25;119,830.50;139,107.50;41,718.00;22,521.00
Apr 15, 2025;Apr 16, 2025;97,907.00;29,103.75;98,431.25;415,464.25;250,531.75;2,377.00;-;190,807.50;98,900.50;122,383.50;29,136.00;23,436.75
Apr 16, 2025;Apr 17, 2025;98,460.75;30,387.50;33,472.00;192,138.75;265,339.50;2,400.00;-;218,238.50;112,562.25;125,913.50;34,272.25;23,781.50
Apr 17, 2025;Apr 18, 2025;98,886.25;36,745.50;39,748.00;344,796.25;159,158.25;2,535.25;-;223,835.50;110,121.50;144,230.00;33,913.75;29,605.25
Apr 18, 2025;Apr 19, 2025;98,959.25;37,590.00;34,856.75;202,864.25;87,215.25;2,438.75;-;218,890.00;94,038.50;97,989.75;24,406.25;28,617.50
Apr 19, 2025;Apr 20, 2025;99,413.75;34,021.75;39,419.75;69,969.50;262,912.75;2,544.00;-;148,974.50;40,838.25;87,287.00;30,743.00;28,368.25
Apr 20, 2025;Apr 21, 2025;99,182.25;30,499.00;21,424.75;102,654.25;303,403.25;2,469.50;-;119,539.00;31,812.25;79,219.75;33,545.75;27,150.25
Apr 21, 2025;Apr 22, 2025;98,660.00;30,153.00;2,452.50;68,196.75;229,671.00;2,514.25;-;156,292.25;57,250.25;95,846.75;20,928.75;27,128.50
Apr 22, 2025;Apr 23, 2025;98,427.00;32,040.00;3,572.00;73,833.25;246,535.75;2,418.50;-;195,099.75;118,472.50;147,116.00;38,791.50;25,163.25
Apr 23, 2025;Apr 24, 2025;98,987.25;31,784.50;25,575.00;81,810.75;260,715.50;2,391.25;-;195,688.25;123,256.25;181,863.00;24,583.00;26,660.75
Apr 24, 2025;Apr 25, 2025;-;-;-;-;-;-;-;-;-;-;-;-
